node-degree,probabilities
4,0.001209
5,0.070935
6,0.087767
7,0.095048
8,0.102195
9,0.072277
10,0.059054
11,0.04276
12,0.039823
13,0.037286
14,0.035284
15,0.029409
16,0.026605
17,0.024068
18,0.021531
19,0.019262
20,0.01726
21,0.015391
22,0.01379
23,0.012323
24,0.011523
25,0.011122
26,0.010056
27,0.009122
28,0.00859
29,0.008323
30,0.007657
31,0.006991
32,0.006591
33,0.006191
34,0.005926
35,0.005727
36,0.005527
37,0.005128
38,0.00473
39,0.00453
40,0.004464
41,0.004199
42,0.004132
43,0.003934
44,0.003669
45,0.003603
46,0.003403
47,0.003272
48,0.003006
49,0.002875
50,0.002609
51,0.0023969
52,0.0022649
53,0.0021339
54,0.0019989
55,0.0020019
56,0.0017359
57,0.0018699
58,0.0018699
59,0.0017409
60,0.0018079